INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	INCHIKEY	IUPAC_NAME	SMILES	QSAR_READY_SMILES
(-)-catechin	Synonym	DTXSID40172174	Catechin l-form	18829-70-4	PFTAWBLQPZVEMU-HIFRSBDPSA-N	(2S,3R)-2-(3,4-Dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol	O[C@@H]1CC2=C(O)C=C(O)C=C2O[C@H]1C1=CC(O)=C(O)C=C1	OC1CC2=C(OC1C1=CC(O)=C(O)C=C1)C=C(O)C=C2O
(-)-isoprenaline	Synonym	DTXSID2043878	Levoisoproterenol	51-31-0	JWZZKOKVBUJMES-NSHDSACASA-N	4-{(1R)-1-Hydroxy-2-[(propan-2-yl)amino]ethyl}benzene-1,2-diol	CC(C)NC[C@H](O)C1=CC(O)=C(O)C=C1	CC(C)NCC(O)C1=CC=C(O)C(O)=C1
0173570-0000	NO_MATCH	-	-	-	-	-	-	-
0175029-0000	NO_MATCH	-	-	-	-	-	-	-
0179445-0000	NO_MATCH	-	-	-	-	-	-	-
0198306-0000	NO_MATCH	-	-	-	-	-	-	-
0225151-0000	NO_MATCH	-	-	-	-	-	-	-
0297417-0002B	NO_MATCH	-	-	-	-	-	-	-
0316684-0000	NO_MATCH	-	-	-	-	-	-	-
0317956-0000	NO_MATCH	-	-	-	-	-	-	-
1,4-chrysenequinone	Synonym	DTXSID90143571	1,4-Chrysenedione	100900-16-1	UORKIKBNUWJNJF-UHFFFAOYSA-N	Chrysene-1,4-dione	O=C1C=CC(=O)C2=C1C=CC1=C2C=CC2=CC=CC=C12	O=C1C=CC(=O)C2=C1C=CC1=C2C=CC2=CC=CC=C12
1,5-isoquinolinediol	Integrated Source Name	DTXSID60199505	1,5-Dihydroxyisoquinoline	5154-02-9	LFUJIPVWTMGYDG-UHFFFAOYSA-N	5-Hydroxyisoquinolin-1(2H)-one	OC1=CC=CC2=C1C=CNC2=O	OC1=CC=CC2=C1C=CNC2=O
10-methoxyharmalan	NO_MATCH	-	-	-	-	-	-	-
11-deoxy-16,16-dimethylprostaglandin E2	NO_MATCH	-	-	-	-	-	-	-
12,13-EODE	NO_MATCH	-	-	-	-	-	-	-
15(S)-15-methylprostaglandin E2	NO_MATCH	-	-	-	-	-	-	-
15-delta prostaglandin J2	NO_MATCH	-	-	-	-	-	-	-
16,16-dimethylprostaglandin E2	NO_MATCH	-	-	-	-	-	-	-
16-phenyltetranorprostaglandin E2	NO_MATCH	-	-	-	-	-	-	-
2,6-dimethylpiperidine	NO_MATCH	-	-	-	-	-	-	-
2-aminobenzenesulfonamide	Approved Name	DTXSID00186717	2-Aminobenzenesulfonamide	3306-62-5	YAZSBRQTAHVVGE-UHFFFAOYSA-N	2-Aminobenzene-1-sulfonamide	NC1=CC=CC=C1S(N)(=O)=O	NC1=CC=CC=C1S(N)(=O)=O
2-deoxy-D-glucose	Synonym from Valid Source	DTXSID1037648	Deoxyglucose	154-17-6	PNNNRSAQSRJVSB-JGWLITMVSA-N	6-Deoxy-D-glucose	C[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O	CC(O)C(O)C(O)C(O)C=O
3-acetamidocoumarin	Approved Name	DTXSID80228528	3-Acetamidocoumarin	779-30-6	XJYLCCJIDYSFMB-UHFFFAOYSA-N	N-(2-Oxo-2H-1-benzopyran-3-yl)acetamide	CC(=O)NC1=CC2=CC=CC=C2OC1=O	CC(=O)NC1=CC2=CC=CC=C2OC1=O
3-acetylcoumarin	Approved Name	DTXSID10192627	3-Acetylcoumarin	3949-36-8	CSPIFKKOBWYOEX-UHFFFAOYSA-N	3-Acetyl-2H-1-benzopyran-2-one	CC(=O)C1=CC2=CC=CC=C2OC1=O	CC(=O)C1=CC2=CC=CC=C2OC1=O
3-aminobenzamide	Approved Name	DTXSID90188922	3-Aminobenzamide	3544-24-9	GSCPDZHWVNUUFI-UHFFFAOYSA-N	3-Aminobenzamide	NC(=O)C1=CC(N)=CC=C1	NC(=O)C1=CC(N)=CC=C1
3-hydroxy-DL-kynurenine	NO_MATCH	-	-	-	-	-	-	-
3-nitropropionic acid	Approved Name	DTXSID1020982	3-Nitropropionic acid	504-88-1	WBLZUCOIBUDNBV-UHFFFAOYSA-N	3-Nitropropanoic acid	OC(=O)CC[N+]([O-])=O	OC(=O)CC[N+]([O-])=O
4,5-dianilinophthalimide	Approved Name	DTXSID4040393	4,5-Dianilinophthalimide	145915-58-8	AAALVYBICLMAMA-UHFFFAOYSA-N	5,6-Dianilino-1H-isoindole-1,3(2H)-dione	O=C1NC(=O)C2=C1C=C(NC1=CC=CC=C1)C(NC1=CC=CC=C1)=C2	O=C1NC(=O)C2=C1C=C(NC1=CC=CC=C1)C(NC1=CC=CC=C1)=C2
4-hydroxyphenazone	NO_MATCH	-	-	-	-	-	-	-
6-azathymine	Approved Name	DTXSID70239325	6-Azathymine	932-53-6	XZWMZFQOHTWGQE-UHFFFAOYSA-N	6-Methyl-1,2,4-triazine-3,5(2H,4H)-dione	CC1=NNC(=O)NC1=O	CC1N=NC(=O)NC1=O
6-benzylaminopurine	Synonym	DTXSID70204396	Thiamiprine	5581-52-2	YFTWHEBLORWGNI-UHFFFAOYSA-N	6-[(1-Methyl-4-nitro-1H-imidazol-5-yl)sulfanyl]-7H-purin-2-amine	CN1C=NC(=C1SC1=NC(N)=NC2=C1NC=N2)[N+]([O-])=O	CN1C=NC(=C1SC1=NC(N)=NC2=C1NC=N2)[N+]([O-])=O
6-bromoindirubin-3'-oxime	NO_MATCH	-	-	-	-	-	-	-
7-aminocephalosporanic acid	Approved Name	DTXSID9045342	7-Aminocephalosporanic acid	957-68-6	HSHGZXNAXBPPDL-HZGVNTEJSA-N	(6R,7R)-3-[(Acetyloxy)methyl]-7-amino-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid	CC(=O)OCC1=C(N2[C@H](SC1)[C@H](N)C2=O)C(O)=O	CC(=O)OCC1=C(N2C(SC1)C(N)C2=O)C(O)=O
8-azaguanine	Approved Name	DTXSID0074508	8-Azaguanine	134-58-7	LPXQRXLUHJKZIE-UHFFFAOYSA-N	5-Amino-1,6-dihydro-7H-[1,2,3]triazolo[4,5-d]pyrimidin-7-one	NC1=NC2=C(NN=N2)C(=O)N1	NC1=NC2=C(NN=N2)C(=O)N1
AG-012559	NO_MATCH	-	-	-	-	-	-	-
AG-013608	NO_MATCH	-	-	-	-	-	-	-
AG-028671	NO_MATCH	-	-	-	-	-	-	-
AH-23848	NO_MATCH	-	-	-	-	-	-	-
AH-6809	NO_MATCH	-	-	-	-	-	-	-
AR-A014418	Approved Name	DTXSID80332270	AR-A014418	487021-52-3	YAEMHJKFIIIULI-UHFFFAOYSA-N	N-[(4-Methoxyphenyl)methyl]-N'-(5-nitro-1,3-thiazol-2-yl)urea	COC1=CC=C(CNC(=O)NC2=NC=C(S2)[N+]([O-])=O)C=C1	COC1=CC=C(CNC(=O)NC2=NC=C(S2)[N+]([O-])=O)C=C1
BAS-012416453	NO_MATCH	-	-	-	-	-	-	-
BCB000038	NO_MATCH	-	-	-	-	-	-	-
BCB000039	NO_MATCH	-	-	-	-	-	-	-
BCB000040	NO_MATCH	-	-	-	-	-	-	-
BW-B70C	NO_MATCH	-	-	-	-	-	-	-
C-75	NO_MATCH	-	-	-	-	-	-	-
CAY-10397	NO_MATCH	-	-	-	-	-	-	-
CP-319743	NO_MATCH	-	-	-	-	-	-	-
CP-320650-01	NO_MATCH	-	-	-	-	-	-	-
CP-645525-01	NO_MATCH	-	-	-	-	-	-	-
CP-690334-01	NO_MATCH	-	-	-	-	-	-	-
CP-863187	Approved Name	DTXSID0047294	CP-863187	668981-02-0	UACOXBQBNWQWOK-UHFFFAOYSA-N	6-[4-(2,5-Difluorophenyl)-1,3-oxazol-5-yl]-3-(propan-2-yl)[1,2,4]triazolo[4,3-a]pyridine	CC(C)C1=NN=C2C=CC(=CN12)C1=C(N=CO1)C1=CC(F)=CC=C1F	CC(C)C1=NN=C2C=CC(=CN12)C1=C(N=CO1)C1=CC(F)=CC=C1F
CP-944629	Approved Name	DTXSID1057876	CP-944629	NOCAS_57876	VNZJNPIWZYMGAO-UHFFFAOYSA-N	3-tert-Butyl-6-[4-(2,4,5-trifluorophenyl)-1,3-oxazol-5-yl][1,2,4]triazolo[4,3-a]pyridine	CC(C)(C)C1=NN=C2C=CC(=CN12)C1=C(N=CO1)C1=CC(F)=C(F)C=C1F	CC(C)(C)C1=NN=C2C=CC(=CN12)C1=C(N=CO1)C1=CC(F)=C(F)C=C1F
Chicago Sky Blue 6B	Synonym	DTXSID1025190	C.I. Direct Blue 1	2610-05-1	BPHHNXJPFPEJOF-GPTZEZBUSA-J	Tetrasodium 6,6'-{(3,3'-dimethoxy[1,1'-biphenyl]-4,4'-diyl)bis[(E)diazene-2,1-diyl]}bis(4-amino-5-hydroxynaphthalene-1,3-disulfonate)	[Na+].[Na+].[Na+].[Na+].COC1=CC(=CC=C1\N=N\C1=C(O)C2=C(C=C1)C(=CC(=C2N)S([O-])(=O)=O)S([O-])(=O)=O)C1=CC(OC)=C(C=C1)\N=N\C1=C(O)C2=C(N)C(=CC(=C2C=C1)S([O-])(=O)=O)S([O-])(=O)=O	COc1cc(ccc1\N=N\c1ccc2c(cc(c(N)c2c1O)S(O)(=O)=O)S(O)(=O)=O)-c1ccc(\N=N\c2ccc3c(cc(c(N)c3c2O)S(O)(=O)=O)S(O)(=O)=O)c(OC)c1
DL-PPMP	NO_MATCH	-	-	-	-	-	-	-
DL-thiorphan	NO_MATCH	-	-	-	-	-	-	-
F0447-0125	NO_MATCH	-	-	-	-	-	-	-
GW-8510	NO_MATCH	-	-	-	-	-	-	-
Gly-His-Lys	Synonym	DTXSID30197831	Glycyl-histidyl-lysine	49557-75-7	MVORZMQFXBLMHM-QWRGUYRKSA-N	Glycyl-L-histidyl-L-lysine	NCCCC[C@H](NC(=O)[C@H](CC1=CN=CN1)NC(=O)CN)C(O)=O	NCCCCC(NC(=O)C(CC1=CN=CN1)NC(=O)CN)C(O)=O
H-7	NO_MATCH	-	-	-	-	-	-	-
H-89	NO_MATCH	-	-	-	-	-	-	-
HC toxin	NO_MATCH	-	-	-	-	-	-	-
HNMPA-(AM)3	NO_MATCH	-	-	-	-	-	-	-
IC-86621	NO_MATCH	-	-	-	-	-	-	-
L-methionine sulfoximine	NO_MATCH	-	-	-	-	-	-	-
LM-1685	NO_MATCH	-	-	-	-	-	-	-
LY-294002	NO_MATCH	-	-	-	-	-	-	-
MG-132	Synonym	DTXSID3042639	MG132	133407-82-6	TZYWCYJVHRLUCT-VABKMULXSA-N	N-[(Benzyloxy)carbonyl]-L-leucyl-N-[(2S)-4-methyl-1-oxopentan-2-yl]-L-leucinamide	CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1)C=O	CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCC1=CC=CC=C1)C=O
MG-262	NO_MATCH	-	-	-	-	-	-	-
MK-886	NO_MATCH	-	-	-	-	-	-	-
MS-275	Approved Name	DTXSID0041068	MS-275	209783-80-2	INVTYAOGFAGBOE-UHFFFAOYSA-N	(Pyridin-3-yl)methyl ({4-[(2-aminophenyl)carbamoyl]phenyl}methyl)carbamate	NC1=C(NC(=O)C2=CC=C(CNC(=O)OCC3=CN=CC=C3)C=C2)C=CC=C1	NC1=C(NC(=O)C2=CC=C(CNC(=O)OCC3=CN=CC=C3)C=C2)C=CC=C1
N-acetyl-L-aspartic acid	NO_MATCH	-	-	-	-	-	-	-
N-acetyl-L-leucine	Systematic Name	DTXSID6045870	Acetyl-L-leucine	1188-21-2	WXNXCEHXYPACJF-ZETCQYMHSA-N	N-Acetyl-L-leucine	CC(C)C[C@H](NC(C)=O)C(O)=O	CC(C)CC(NC(C)=O)C(O)=O
N-acetylmuramic acid	NO_MATCH	-	-	-	-	-	-	-
N-phenylanthranilic acid	Approved Name	DTXSID6059025	N-Phenylanthranilic acid	91-40-7	ZWJINEZUASEZBH-UHFFFAOYSA-N	2-Anilinobenzoic acid	OC(=O)C1=C(NC2=CC=CC=C2)C=CC=C1	OC(=O)C1=C(NC2=CC=CC=C2)C=CC=C1
N6-methyladenosine	Synonym	DTXSID6020858	(N-6)-Methyladenosine	1867-73-8	VQAYFKKCNSOZKM-IOSLPCCCSA-N	N-Methyladenosine	CNC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	CNC1=C2N=CN(C3OC(CO)C(O)C3O)C2=NC=N1
NS-398	Synonym	DTXSID8041084	NS398	123653-11-2	KTDZCOWXCWUPEO-UHFFFAOYSA-N	N-[2-(Cyclohexyloxy)-4-nitrophenyl]methanesulfonamide	CS(=O)(=O)NC1=C(OC2CCCCC2)C=C(C=C1)[N+]([O-])=O	CS(=O)(=O)NC1=C(OC2CCCCC2)C=C(C=C1)[N+]([O-])=O
NU-1025	NO_MATCH	-	-	-	-	-	-	-
PF-00539745-00	NO_MATCH	-	-	-	-	-	-	-
PF-00539758-00	NO_MATCH	-	-	-	-	-	-	-
PF-00562151-00	NO_MATCH	-	-	-	-	-	-	-
PF-00875133-00	NO_MATCH	-	-	-	-	-	-	-
PF-01378883-00	NO_MATCH	-	-	-	-	-	-	-
PHA-00665752	NO_MATCH	-	-	-	-	-	-	-
PHA-00745360	NO_MATCH	-	-	-	-	-	-	-
PHA-00767505E	NO_MATCH	-	-	-	-	-	-	-
PHA-00816795	NO_MATCH	-	-	-	-	-	-	-
PHA-00846566E	NO_MATCH	-	-	-	-	-	-	-
PHA-00851261E	NO_MATCH	-	-	-	-	-	-	-
PNU-0230031	NO_MATCH	-	-	-	-	-	-	-
PNU-0251126	NO_MATCH	-	-	-	-	-	-	-
PNU-0293363	NO_MATCH	-	-	-	-	-	-	-
Prestwick-1080	NO_MATCH	-	-	-	-	-	-	-
Prestwick-1082	NO_MATCH	-	-	-	-	-	-	-
Prestwick-1083	NO_MATCH	-	-	-	-	-	-	-
Prestwick-1084	NO_MATCH	-	-	-	-	-	-	-
Prestwick-1085	NO_MATCH	-	-	-	-	-	-	-
Prestwick-1100	NO_MATCH	-	-	-	-	-	-	-
Prestwick-1103	NO_MATCH	-	-	-	-	-	-	-
Prestwick-559	NO_MATCH	-	-	-	-	-	-	-
Prestwick-642	NO_MATCH	-	-	-	-	-	-	-
Prestwick-664	NO_MATCH	-	-	-	-	-	-	-
Prestwick-665	NO_MATCH	-	-	-	-	-	-	-
Prestwick-674	NO_MATCH	-	-	-	-	-	-	-
Prestwick-675	NO_MATCH	-	-	-	-	-	-	-
Prestwick-682	NO_MATCH	-	-	-	-	-	-	-
Prestwick-685	NO_MATCH	-	-	-	-	-	-	-
Prestwick-689	NO_MATCH	-	-	-	-	-	-	-
Prestwick-691	NO_MATCH	-	-	-	-	-	-	-
Prestwick-692	NO_MATCH	-	-	-	-	-	-	-
Prestwick-857	NO_MATCH	-	-	-	-	-	-	-
Prestwick-860	NO_MATCH	-	-	-	-	-	-	-
Prestwick-864	NO_MATCH	-	-	-	-	-	-	-
Prestwick-920	NO_MATCH	-	-	-	-	-	-	-
Prestwick-967	NO_MATCH	-	-	-	-	-	-	-
Prestwick-972	NO_MATCH	-	-	-	-	-	-	-
Prestwick-981	NO_MATCH	-	-	-	-	-	-	-
Prestwick-983	NO_MATCH	-	-	-	-	-	-	-
Prestwick-984	NO_MATCH	-	-	-	-	-	-	-
R-atenolol	NO_MATCH	-	-	-	-	-	-	-
S-propranolol	NO_MATCH	-	-	-	-	-	-	-
SB-202190	Synonym	DTXSID7041120	SB202190	152121-30-7	QHKYPYXTTXKZST-UHFFFAOYSA-N	4-[5-(4-Fluorophenyl)-4-(pyridin-4-yl)-1H-imidazol-2-yl]phenol	OC1=CC=C(C=C1)C1=NC(=C(N1)C1=CC=C(F)C=C1)C1=CC=NC=C1	OC1=CC=C(C=C1)C1=NC(=C(N1)C1=CC=C(F)C=C1)C1=CC=NC=C1
SB-203580	Synonym	DTXSID2040577	SB203580	152121-47-6	CDMGBJANTYXAIV-UHFFFAOYSA-N	4-{4-(4-Fluorophenyl)-2-[4-(methanesulfinyl)phenyl]-1H-imidazol-5-yl}pyridine	CS(=O)C1=CC=C(C=C1)C1=NC(=C(N1)C1=CC=NC=C1)C1=CC=C(F)C=C1	CS(=O)C1=CC=C(C=C1)C1=NC(=C(N1)C1=CC=NC=C1)C1=CC=C(F)C=C1
SC-19220	NO_MATCH	-	-	-	-	-	-	-
SC-560	Approved Name	DTXSID00401775	SC-560	188817-13-2	PQUGCKBLVKJMNT-UHFFFAOYSA-N	5-(4-Chlorophenyl)-1-(4-methoxyphenyl)-3-(trifluoromethyl)-1H-pyrazole	COC1=CC=C(C=C1)N1N=C(C=C1C1=CC=C(Cl)C=C1)C(F)(F)F	COC1=CC=C(C=C1)N1N=C(C=C1C1=CC=C(Cl)C=C1)C(F)(F)F
SC-58125	Synonym	DTXSID00167304	1-((4-Methylsulfonyl)phenyl)-3-trifluoromethyl-5-(4-fluorophenyl)pyrazole	162054-19-5	JHBIMJKLBUMNAU-UHFFFAOYSA-N	5-(4-Fluorophenyl)-1-[4-(methanesulfonyl)phenyl]-3-(trifluoromethyl)-1H-pyrazole	CS(=O)(=O)C1=CC=C(C=C1)N1N=C(C=C1C1=CC=C(F)C=C1)C(F)(F)F	CS(=O)(=O)C1=CC=C(C=C1)N1N=C(C=C1C1=CC=C(F)C=C1)C(F)(F)F
SR-95531	NO_MATCH	-	-	-	-	-	-	-
SR-95639A	NO_MATCH	-	-	-	-	-	-	-
STOCK1N-28457	NO_MATCH	-	-	-	-	-	-	-
STOCK1N-35215	NO_MATCH	-	-	-	-	-	-	-
STOCK1N-35696	NO_MATCH	-	-	-	-	-	-	-
STOCK1N-35874	NO_MATCH	-	-	-	-	-	-	-
TTNPB	Expert Validated Synonym	DTXSID6040743	Arotinoid acid	71441-28-6	FOIVPCKZDPCJJY-JQIJEIRASA-N	4-[(1E)-2-(5,5,8,8-Tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)prop-1-en-1-yl]benzoic acid	C\C(=C/C1=CC=C(C=C1)C(O)=O)C1=CC2=C(C=C1)C(C)(C)CCC2(C)C	C\C(=C\C1=CC=C(C=C1)C(O)=O)C1=CC2=C(C=C1)C(C)(C)CCC2(C)C
Trolox C	Integrated Source Name	DTXSID60866306	2H-1-Benzopyran-2-carboxylic acid, 3,4-dihydro-6-hydroxy-2,5,7,8-tetramethyl-	53188-07-1	GLEVLJDDWXEYCO-UHFFFAOYSA-N	6-Hydroxy-2,5,7,8-tetramethyl-3,4-dihydro-2H-1-benzopyran-2-carboxylic acid	CC1=C(C)C2=C(CCC(C)(O2)C(O)=O)C(C)=C1O	CC1=C(C)C2=C(CCC(C)(O2)C(O)=O)C(C)=C1O
U0125	NO_MATCH	-	-	-	-	-	-	-
W-13	NO_MATCH	-	-	-	-	-	-	-
Y-27632	Approved Name	DTXSID7043740	Y-27632	146986-50-7	IYOZTVGMEWJPKR-IJLUTSLNSA-N	(1R,4r)-4-[(1R)-1-Aminoethyl]-N-(pyridin-4-yl)cyclohexane-1-carboxamide	C[C@@H](N)[C@H]1CC[C@@H](CC1)C(=O)NC1=CC=NC=C1	CC(N)C1CCC(CC1)C(=O)NC1=CC=NC=C1
abamectin	Approved Name	DTXSID8023892	Abamectin	71751-41-2	-	-	-	-
acacetin	Approved Name	DTXSID00197383	Acacetin	480-44-4	DANYIYRPLHHOCZ-UHFFFAOYSA-N	5,7-Dihydroxy-2-(4-methoxyphenyl)-4H-1-benzopyran-4-one	COC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1	COC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1
acebutolol	Approved Name	DTXSID2048539	Acebutolol	37517-30-9	GOEMGAFJFRBGGG-UHFFFAOYSA-N	N-(3-Acetyl-4-{2-hydroxy-3-[(propan-2-yl)amino]propoxy}phenyl)butanamide	CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)C)C=C1	CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)C)C=C1
aceclofenac	Approved Name	DTXSID7045522	Aceclofenac	89796-99-6	MNIPYSSQXLZQLJ-UHFFFAOYSA-N	({[2-(2,6-Dichloroanilino)phenyl]acetyl}oxy)acetic acid	OC(=O)COC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1	OC(=O)COC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1
acemetacin	Approved Name	DTXSID7022540	Acemetacin	53164-05-9	FSQKKOOTNAMONP-UHFFFAOYSA-N	({[1-(4-Chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]acetyl}oxy)acetic acid	COC1=CC=C2N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C(CC(=O)OCC(O)=O)C2=C1	COC1=CC=C2N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C(CC(=O)OCC(O)=O)C2=C1
acenocoumarol	Approved Name	DTXSID2022541	Acenocoumarol	152-72-7	VABCILAOYCMVPS-UHFFFAOYSA-N	4-Hydroxy-3-[1-(4-nitrophenyl)-3-oxobutyl]-2H-1-benzopyran-2-one	CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C1=C(O)C2=CC=CC=C2OC1=O	CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C1=C(O)C2=CC=CC=C2OC1=O
acepromazine	Synonym from Valid Source	DTXSID1022552	Acetylpromazine	61-00-7	NOSIYYJFMPDDSA-UHFFFAOYSA-N	1-{10-[3-(Dimethylamino)propyl]-10H-phenothiazin-2-yl}ethan-1-one	CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O	CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O
acetazolamide	Approved Name	DTXSID7022544	Acetazolamide	59-66-5	BZKPWHYZMXOIDC-UHFFFAOYSA-N	N-(5-Sulfamoyl-1,3,4-thiadiazol-2-yl)acetamide	CC(=O)NC1=NN=C(S1)S(N)(=O)=O	CC(=O)NC1=NN=C(S1)S(N)(=O)=O
acetohexamide	Approved Name	DTXSID7020007	Acetohexamide	968-81-0	VGZSUPCWNCWDAN-UHFFFAOYSA-N	4-Acetyl-N-(cyclohexylcarbamoyl)benzene-1-sulfonamide	CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1	CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
acetylsalicylic acid	Expert Validated Synonym	DTXSID5020108	Aspirin	50-78-2	BSYNRYMUTXBXSQ-UHFFFAOYSA-N	2-(Acetyloxy)benzoic acid	CC(=O)OC1=C(C=CC=C1)C(O)=O	CC(=O)OC1=C(C=CC=C1)C(O)=O
acetylsalicylsalicylic acid	NO_MATCH	-	-	-	-	-	-	-
aciclovir	Synonym from Valid Source	DTXSID1022556	Acyclovir	59277-89-3	MKUXAQIIEYXACX-UHFFFAOYSA-N	2-Amino-9-[(2-hydroxyethoxy)methyl]-1,9-dihydro-6H-purin-6-one	NC1=NC2=C(N=CN2COCCO)C(=O)N1	NC1=NC2=C(N=CN2COCCO)C(=O)N1
aconitine	Approved Name	DTXSID4046319	Aconitine	302-27-2	XFSBVAOIAHNAPC-XTHSEXKGSA-N	(1alpha,3alpha,6alpha,14alpha,15alpha,16beta,17xi)-8-(Acetyloxy)-20-ethyl-3,13,15-trihydroxy-1,6,16-trimethoxy-4-(methoxymethyl)aconitan-14-yl benzoate	CCN1C[C@@]2(COC)[C@H]3[C@@H](OC)[C@H]4C1[C@@]3([C@@H]1C[C@@]3(O)[C@H](OC(=O)C5=CC=CC=C5)[C@@H]1[C@]4(OC(C)=O)[C@@H](O)[C@@H]3OC)[C@H](C[C@H]2O)OC	[H]C12C3CC(O)(C1OC(=O)C1=CC=CC=C1)C(OC)C(O)C2(OC(C)=O)C1([H])C(OC)C2([H])C33C(CC(O)C2(COC)CN(CC)C13[H])OC
adenosine phosphate	Synonym from Valid Source	DTXSID5022560	Adenosine 5'-phosphate	61-19-8	UDMBCSSLTHHNCD-KQYNXXCUSA-N	5'-Adenylic acid	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O	NC1=C2N=CN(C3OC(COP(O)(O)=O)C(O)C3O)C2=NC=N1
adiphenine	Approved Name	DTXSID0022561	Adiphenine	64-95-9	JGOAIQNSOGZNBX-UHFFFAOYSA-N	2-(Diethylamino)ethyl diphenylacetate	CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1	CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
