INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	INCHIKEY	IUPAC_NAME	SMILES	QSAR_READY_SMILES
apomorphine	Approved Name	DTXSID8022614	Apomorphine	58-00-4	VMWNQDUVQKEIOC-CYBMUJFWSA-N	(6aR)-6-Methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-10,11-diol	CN1CCC2=CC=CC3=C2[C@H]1CC1=C3C(O)=C(O)C=C1	CN1CCC2=CC=CC3=C2C1CC1=C3C(O)=C(O)C=C1
atropine	Approved Name	DTXSID4020113	Atropine	51-55-8	RKUNBYITZUJHSG-SPUOUPEWSA-N	(1R,3r,5S)-8-Methyl-8-azabicyclo[3.2.1]octan-3-yl 3-hydroxy-2-phenylpropanoate	CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1	[H]C12CCC([H])(CC(C1)OC(=O)C(CO)C1=CC=CC=C1)N2C
azathioprine	Approved Name	DTXSID4020119	Azathioprine	446-86-6	LMEKQMALGUDUQG-UHFFFAOYSA-N	6-[(1-Methyl-4-nitro-1H-imidazol-5-yl)sulfanyl]-7H-purine	CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O	CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O
baclofen	Approved Name	DTXSID5022641	Baclofen	1134-47-0	KPYSYYIEGFHWSV-UHFFFAOYSA-N	4-Amino-3-(4-chlorophenyl)butanoic acid	NCC(CC(O)=O)C1=CC=C(Cl)C=C1	NCC(CC(O)=O)C1=CC=C(Cl)C=C1
benzbromarone	Approved Name	DTXSID4022652	Benzbromarone	3562-84-3	WHQCHUCQKNIQEC-UHFFFAOYSA-N	(3,5-Dibromo-4-hydroxyphenyl)(2-ethyl-1-benzofuran-3-yl)methanone	CCC1=C(C(=O)C2=CC(Br)=C(O)C(Br)=C2)C2=CC=CC=C2O1	CCC1=C(C(=O)C2=CC(Br)=C(O)C(Br)=C2)C2=CC=CC=C2O1
benzonatate	Approved Name	DTXSID9022655	Benzonatate	104-31-4	MAFMQEKGGFWBAB-UHFFFAOYSA-N	2,5,8,11,14,17,20,23,26-Nonaoxaoctacosan-28-yl 4-(butylamino)benzoate	CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC	CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC
biperiden	Approved Name	DTXSID6022680	Biperiden	514-65-8	YSXKPIUOCJLQIE-UHFFFAOYSA-N	1-(Bicyclo[2.2.1]hept-5-en-2-yl)-1-phenyl-3-(piperidin-1-yl)propan-1-ol	OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1	OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1
bisacodyl	Approved Name	DTXSID1022681	Bisacodyl	603-50-9	KHOITXIGCFIULA-UHFFFAOYSA-N	[(Pyridin-2-yl)methylene]di(4,1-phenylene) diacetate	CC(=O)OC1=CC=C(C=C1)C(C1=CC=C(OC(C)=O)C=C1)C1=NC=CC=C1	CC(=O)OC1=CC=C(C=C1)C(C1=CC=C(OC(C)=O)C=C1)C1=NC=CC=C1
bromocriptine	Approved Name	DTXSID1022687	Bromocriptine	25614-03-3	OZVBMTJYIDMWIL-AYFBDAFISA-N	(5'alpha)-2-Bromo-12'-hydroxy-5'-(2-methylpropyl)-3',6',18-trioxo-2'-(propan-2-yl)ergotaman	CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C	CC(C)CC1N2C(=O)C(NC(=O)C3CN(C)C4CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(OC2(O)C2CCCN2C1=O)C(C)C
budesonide	Approved Name	DTXSID8020202	Budesonide	51333-22-3	VOVIALXJUBGFJZ-KWVAZRHASA-N	(4aR,4bS,5S,6aS,6bS,9aR,10aS,10bS)-5-Hydroxy-6b-(hydroxyacetyl)-4a,6a-dimethyl-8-propyl-4a,4b,5,6,6a,6b,9a,10,10a,10b,11,12-dodecahydro-2H,8H-naphtho[2',1':4,5]indeno[1,2-d][1,3]dioxol-2-one	CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO	CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO
bupropion	Approved Name	DTXSID7022706	Bupropion	34911-55-2	SNPPWIUOZRMYNY-UHFFFAOYSA-N	2-(tert-Butylamino)-1-(3-chlorophenyl)propan-1-one	CC(NC(C)(C)C)C(=O)C1=CC=CC(Cl)=C1	CC(NC(C)(C)C)C(=O)C1=CC=CC(Cl)=C1
carbamazepine	Approved Name	DTXSID4022731	Carbamazepine	298-46-4	FFGPTBGBLSHEPO-UHFFFAOYSA-N	5H-Dibenzo[b,f]azepine-5-carboxamide	NC(=O)N1C2=CC=CC=C2C=CC2=C1C=CC=C2	NC(=O)N1C2=CC=CC=C2C=CC2=C1C=CC=C2
carbinoxamine	Approved Name	DTXSID4022737	Carbinoxamine	486-16-8	OJFSXZCBGQGRNV-UHFFFAOYSA-N	2-[(4-Chlorophenyl)(pyridin-2-yl)methoxy]-N,N-dimethylethan-1-amine	CN(C)CCOC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1	CN(C)CCOC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1
cefaclor	Approved Name	DTXSID3022748	Cefaclor	53994-73-3	QYIYFLOTGYLRGG-GPCCPHFNSA-N	(6R,7R)-7-{[(2R)-2-Amino-2-phenylacetyl]amino}-3-chloro-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid	N[C@@H](C(=O)N[C@H]1[C@H]2SCC(Cl)=C(N2C1=O)C(O)=O)C1=CC=CC=C1	NC(C(=O)NC1C2SCC(Cl)=C(N2C1=O)C(O)=O)C1=CC=CC=C1
cefazolin	Approved Name	DTXSID2022753	Cefazolin	25953-19-9	MLYYVTUWGNIJIB-BXKDBHETSA-N	(6R,7R)-3-{[(5-Methyl-1,3,4-thiadiazol-2-yl)sulfanyl]methyl}-8-oxo-7-[2-(1H-tetrazol-1-yl)acetamido]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid	CC1=NN=C(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)CN2C=NN=N2)C3=O)C(O)=O)S1	CC1=NN=C(SCC2=C(N3C(SC2)C(NC(=O)CN2C=NN=N2)C3=O)C(O)=O)S1
cefuroxime	Approved Name	DTXSID5022774	Cefuroxime	55268-75-2	JFPVXVDWJQMJEE-QMTHXVAHSA-N	(6R,7R)-3-[(Carbamoyloxy)methyl]-7-[2-(furan-2-yl)(methoxyimino)acetamido]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid	CON=C(C(=O)N[C@H]1[C@H]2SCC(COC(N)=O)=C(N2C1=O)C(O)=O)C1=CC=CO1	CON=C(C(=O)NC1C2SCC(COC(N)=O)=C(N2C1=O)C(O)=O)C1=CC=CO1
celecoxib	Approved Name	DTXSID0022777	Celecoxib	169590-42-5	RZEKVGVHFLEQIL-UHFFFAOYSA-N	4-[5-(4-Methylphenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl]benzene-1-sulfonamide	CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F	CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F
chlorambucil	Approved Name	DTXSID7020263	Chlorambucil	305-03-3	JCKYGMPEJWAADB-UHFFFAOYSA-N	4-{4-[Bis(2-chloroethyl)amino]phenyl}butanoic acid	OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl	OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl
chloramphenicol	Approved Name	DTXSID7020265	Chloramphenicol	56-75-7	WIIZWVCIJKGZOK-RKDXNWHRSA-N	2,2-Dichloro-N-[(1R,2R)-1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide	OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O	OCC(NC(=O)C(Cl)Cl)C(O)C1=CC=C(C=C1)[N+]([O-])=O
chloroquine	Approved Name	DTXSID2040446	Chloroquine	54-05-7	WHTVZRBIWZFKQO-UHFFFAOYSA-N	N~4~-(7-Chloroquinolin-4-yl)-N~1~,N~1~-diethylpentane-1,4-diamine	CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1	CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1
chlorpromazine	Approved Name	DTXSID0022808	Chlorpromazine	50-53-3	ZPEIMTDSQAKGNT-UHFFFAOYSA-N	3-(2-Chloro-10H-phenothiazin-10-yl)-N,N-dimethylpropan-1-amine	CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2	CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2
cimetidine	Approved Name	DTXSID4020329	Cimetidine	51481-61-9	AQIXAKUUQRKLND-UHFFFAOYSA-N	N''-Cyano-N-methyl-N'-(2-{[(5-methyl-1H-imidazol-4-yl)methyl]sulfanyl}ethyl)guanidine	CN\C(NCCSCC1=C(C)NC=N1)=N/C#N	CN\C(NCCSCC1=C(C)NC=N1)=N/C#N
citalopram	Approved Name	DTXSID8022826	Citalopram	59729-33-8	WSEQXVZVJXJVFP-UHFFFAOYSA-N	1-[3-(Dimethylamino)propyl]-1-(4-fluorophenyl)-1,3-dihydro-2-benzofuran-5-carbonitrile	CN(C)CCCC1(OCC2=CC(=CC=C12)C#N)C1=CC=C(F)C=C1	CN(C)CCCC1(OCC2=CC(=CC=C12)C#N)C1=CC=C(F)C=C1
clindamycin	Approved Name	DTXSID2022836	Clindamycin	18323-44-9	KDLRVYVGXIQJDK-AWPVFWJPSA-N	Methyl 7-chloro-6,7,8-trideoxy-6-{[(4R)-1-methyl-4-propyl-L-prolyl]amino}-1-thio-L-threo-alpha-D-galacto-octopyranoside	CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O	CCCC1CC(N(C)C1)C(=O)NC(C(C)Cl)C1OC(SC)C(O)C(O)C1O
clomipramine	Approved Name	DTXSID6022844	Clomipramine	303-49-1	GDLIGKIOYRNHDA-UHFFFAOYSA-N	3-(3-Chloro-10,11-dihydro-5H-dibenzo[b,f]azepin-5-yl)-N,N-dimethylpropan-1-amine	CN(C)CCCN1C2=CC(Cl)=CC=C2CCC2=C1C=CC=C2	CN(C)CCCN1C2=CC(Cl)=CC=C2CCC2=C1C=CC=C2
clotrimazole	Approved Name	DTXSID7029871	Clotrimazole	23593-75-1	VNFPBHJOKIVQEB-UHFFFAOYSA-N	1-[(2-Chlorophenyl)(diphenyl)methyl]-1H-imidazole	ClC1=C(C=CC=C1)C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1	ClC1=C(C=CC=C1)C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1
clozapine	Approved Name	DTXSID5022855	Clozapine	5786-21-0	QZUDBNBUXVUHMW-UHFFFAOYSA-N	8-Chloro-11-(4-methylpiperazin-1-yl)-5H-dibenzo[b,e][1,4]diazepine	CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=C1C=CC=C2	CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=C1C=CC=C2
cyclobenzaprine	Approved Name	DTXSID0046933	Cyclobenzaprine	303-53-7	JURKNVYFZMSNLP-UHFFFAOYSA-N	3-(5H-Dibenzo[a,d][7]annulen-5-ylidene)-N,N-dimethylpropan-1-amine	CN(C)CCC=C1C2=C(C=CC=C2)C=CC2=C1C=CC=C2	CN(C)CCC=C1C2=C(C=CC=C2)C=CC2=C1C=CC=C2
cyproheptadine	Approved Name	DTXSID8022872	Cyproheptadine	129-03-3	JJCFRYNCJDLXIK-UHFFFAOYSA-N	4-(5H-Dibenzo[a,d][7]annulen-5-ylidene)-1-methylpiperidine	CN1CCC(CC1)=C1C2=C(C=CC=C2)C=CC2=C1C=CC=C2	CN1CCC(CC1)=C1C2=C(C=CC=C2)C=CC2=C1C=CC=C2
dacarbazine	Approved Name	DTXSID0020369	Dacarbazine	4342-03-4	FDKXTQMXEQVLRF-UHFFFAOYSA-N	4-(3,3-Dimethyltriaz-1-en-1-yl)-1H-imidazole-5-carboxamide	CN(C)N=NC1=C(NC=N1)C(N)=O	CN(C)N=NC1=C(NC=N1)C(N)=O
danazol	Approved Name	DTXSID2022880	Danazol	17230-88-5	POZRVZJJTULAOH-LHZXLZLDSA-N	(1R,3aS,3bR,10aR,10bS,12aS)-1-Ethynyl-10a,12a-dimethyl-2,3,3a,3b,4,5,10,10a,10b,11,12,12a-dodecahydro-1H-cyclopenta[7,8]phenanthro[3,2-d][1,2]oxazol-1-ol	C[C@]12CC[C@H]3[C@@H](CCC4=CC5=C(C[C@]34C)C=NO5)[C@@H]1CC[C@@]2(O)C#C	CC12CCC3C(CCC4=CC5=C(CC34C)C=NO5)C1CCC2(O)C#C
daunorubicin	Approved Name	DTXSID7022883	Daunorubicin	20830-81-3	STQGQHZAVUOBTE-VGBVRHCVSA-N	(1S,3S)-3-Acetyl-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranoside	COC1=C2C(=O)C3=C(C(O)=C4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C4=C3O)C(C)=O)C(=O)C2=CC=C1	COC1=CC=CC2=C1C(=O)C1=C(C(O)=C3CC(O)(CC(OC4CC(N)C(O)C(C)O4)C3=C1O)C(C)=O)C2=O
dexpanthenol	Approved Name	DTXSID3022906	Dexpanthenol	81-13-0	SNPLKNRPJHDVJA-ZETCQYMHSA-N	(2R)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide	CC(C)(CO)[C@@H](O)C(=O)NCCCO	CC(C)(CO)C(O)C(=O)NCCCO
dextromethorphan	Approved Name	DTXSID3022908	Dextromethorphan	125-71-3	MKXZASYAUGDDCJ-NJAFHUGGSA-N	(9alpha,13alpha,14alpha)-3-Methoxy-17-methylmorphinan	[H][C@]12CCCC[C@]11CCN(C)[C@H]2CC2=C1C=C(OC)C=C2	[H]C12CC3=C(C=C(OC)C=C3)C3(CCCCC13)CCN2C
diclofenac	Approved Name	DTXSID6022923	Diclofenac	15307-86-5	DCOPUUMXTXDBNB-UHFFFAOYSA-N	[2-(2,6-Dichloroanilino)phenyl]acetic acid	OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1	OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1
dicloxacillin	Approved Name	DTXSID1022924	Dicloxacillin	3116-76-5	YFAGHNZHGGCZAX-JKIFEVAISA-N	(2S,5R,6R)-6-{[3-(2,6-Dichlorophenyl)-5-methyl-1,2-oxazole-4-carbonyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid	CC1=C(C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)C(=NO1)C1=C(Cl)C=CC=C1Cl	CC1=C(C(=O)NC2C3SC(C)(C)C(N3C2=O)C(O)=O)C(=NO1)C1=C(Cl)C=CC=C1Cl
diflunisal	Approved Name	DTXSID5022932	Diflunisal	22494-42-4	HUPFGZXOMWLGNK-UHFFFAOYSA-N	2',4'-Difluoro-4-hydroxy[1,1'-biphenyl]-3-carboxylic acid	OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1	OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1
digoxin	Approved Name	DTXSID5022934	Digoxin	20830-75-5	LTMHDMANZUZIPE-PUGKRICDSA-N	(3beta,5beta,12beta)-3-{[2,6-Dideoxy-beta-D-ribo-hexopyranosyl-(1->4)-2,6-dideoxy-beta-D-ribo-hexopyranosyl-(1->4)-2,6-dideoxy-beta-D-ribo-hexopyranosyl]oxy}-12,14-dihydroxycard-20(22)-enolide	C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4C[C@@H](O)[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C	CC1OC(CC(O)C1O)OC1C(O)CC(OC2C(O)CC(OC3CCC4(C)C(CCC5C4CC(O)C4(C)C(CCC54O)C4=CC(=O)OC4)C3)OC2C)OC1C
dihydroergotamine	Approved Name	DTXSID6045614	Dihydroergotamine	511-12-6	LUZRJRNZXALNLM-JGRZULCMSA-N	(5'alpha,10alpha)-5'-Benzyl-12'-hydroxy-2'-methyl-3',6',18-trioxo-9,10-dihydroergotaman	CN1C[C@@H](C[C@H]2[C@H]1CC1=CNC3=CC=CC2=C13)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](CC3=CC=CC=C3)N2C1=O	CN1CC(CC2C1CC1=CNC3=CC=CC2=C13)C(=O)NC1(C)OC2(O)C3CCCN3C(=O)C(CC3=CC=CC=C3)N2C1=O
diltiazem	Approved Name	DTXSID50881104	Diltiazem	34933-06-7	HSUGRBWQSSZJOP-UHFFFAOYSA-N	5-[2-(Dimethylamino)ethyl]-2-(4-methoxyphenyl)-4-oxo-2,3,4,5-tetrahydro-1,5-benzothiazepin-3-yl acetate	COC1=CC=C(C=C1)C1SC2=CC=CC=C2N(CCN(C)C)C(=O)C1OC(C)=O	COC1=CC=C(C=C1)C1SC2=CC=CC=C2N(CCN(C)C)C(=O)C1OC(C)=O
dimenhydrinate	Approved Name	DTXSID9025087	Dimenhydrinate	523-87-5	NFLLKCVHYJRNRH-UHFFFAOYSA-N	-	CN1C2=C(NC(Cl)=N2)C(=O)N(C)C1=O.CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1	-
diphenhydramine	Approved Name	DTXSID4022949	Diphenhydramine	58-73-1	ZZVUWRFHKOJYTH-UHFFFAOYSA-N	2-(Diphenylmethoxy)-N,N-dimethylethan-1-amine	CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1	CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
disopyramide	Approved Name	DTXSID1045536	Disopyramide	3737-09-5	UVTNFZQICZKOEM-UHFFFAOYSA-N	4-[Di(propan-2-yl)amino]-2-phenyl-2-(pyridin-2-yl)butanamide	CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=N1)C(C)C	CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=N1)C(C)C
dobutamine	Approved Name	DTXSID3022958	Dobutamine	34368-04-2	JRWZLRBJNMZMFE-UHFFFAOYSA-N	4-(2-{[4-(4-Hydroxyphenyl)butan-2-yl]amino}ethyl)benzene-1,2-diol	CC(CCC1=CC=C(O)C=C1)NCCC1=CC(O)=C(O)C=C1	CC(CCC1=CC=C(O)C=C1)NCCC1=CC(O)=C(O)C=C1
doxepin	Approved Name	DTXSID7022966	Doxepin	1668-19-5	ODQWQRRAPPTVAG-GZTJUZNOSA-N	(3E)-3-(Dibenzo[b,e]oxepin-11(6H)-ylidene)-N,N-dimethylpropan-1-amine	CN(C)CC\C=C1/C2=C(COC3=C1C=CC=C3)C=CC=C2	CN(C)CC\C=C1/C2=C(COC3=C1C=CC=C3)C=CC=C2
doxorubicin	Approved Name	DTXSID8021480	Doxorubicin	23214-92-8	AOJJSUZBOXZQNB-TZSSRYMLSA-N	(1S,3S)-3,5,12-Trihydroxy-3-(hydroxyacetyl)-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranoside	COC1=C2C(=O)C3=C(C(O)=C4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C4=C3O)C(=O)CO)C(=O)C2=CC=C1	COc1cccc2C(=O)c3c(O)c4CC(O)(CC(OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)CO
doxycycline	Approved Name	DTXSID0037653	Doxycycline	564-25-0	JBIWCJUYHHGXTC-AKNGSSGZSA-N	(4S,4aR,5S,5aR,6R,12aS)-4-(Dimethylamino)-3,5,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide	C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)C2=C1C=CC=C2O	CC1C2C(O)C3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C2C(=O)C2=C1C=CC=C2O
doxylamine	Approved Name	DTXSID1022970	Doxylamine	469-21-6	HCFDWZZGGLSKEP-UHFFFAOYSA-N	N,N-Dimethyl-2-[1-phenyl-1-(pyridin-2-yl)ethoxy]ethan-1-amine	CN(C)CCOC(C)(C1=CC=CC=C1)C1=NC=CC=C1	CN(C)CCOC(C)(C1=CC=CC=C1)C1=NC=CC=C1
droperidol	Approved Name	DTXSID6022973	Droperidol	548-73-2	RMEDXOLNCUSCGS-UHFFFAOYSA-N	1-{1-[4-(4-Fluorophenyl)-4-oxobutyl]-1,2,3,6-tetrahydropyridin-4-yl}-1,3-dihydro-2H-benzimidazol-2-one	FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12	FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12
