INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	IUPAC_NAME	INCHI_STRING	DATA_SOURCES	QSAR_READY_SMILES
chlorpropamide	Approved Name	DTXSID9020322	Chlorpropamide	94-20-2	4-Chloro-N-(propylcarbamoyl)benzene-1-sulfonamide	InChI=1S/C10H13ClN2O3S/c1-2-7-12-10(14)13-17(15,16)9-5-3-8(11)4-6-9/h3-6H,2,7H2,1H3,(H2,12,13,14)	58	CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1
verapamil	Approved Name	DTXSID9041152	Verapamil	52-53-9	2-(3,4-Dimethoxyphenyl)-5-{[2-(3,4-dimethoxyphenyl)ethyl](methyl)amino}-2-(propan-2-yl)pentanenitrile	InChI=1S/C27H38N2O4/c1-20(2)27(19-28,22-10-12-24(31-5)26(18-22)33-7)14-8-15-29(3)16-13-21-9-11-23(30-4)25(17-21)32-6/h9-12,17-18,20H,8,13-16H2,1-7H3	52	COC1=CC=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC=C(OC)C(OC)=C2)C=C1OC
dexverapamil	NO_MATCH	-	-	-	-	-	-	-
mesalazine	Synonym from Valid Source	DTXSID5024506	5-Aminosalicylic acid	89-57-6	5-Amino-2-hydroxybenzoic acid	InChI=1S/C7H7NO3/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,9H,8H2,(H,10,11)	64	NC1=CC=C(O)C(=C1)C(O)=O
rofecoxib	Approved Name	DTXSID2023567	Rofecoxib	162011-90-7	4-[4-(Methanesulfonyl)phenyl]-3-phenylfuran-2(5H)-one	InChI=1S/C17H14O4S/c1-22(19,20)14-9-7-12(8-10-14)15-11-21-17(18)16(15)13-5-3-2-4-6-13/h2-10H,11H2,1H3	50	CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=CC=C1
nordihydroguaiaretic acid	Approved Name	DTXSID5022437	Nordihydroguaiaretic acid	500-38-9	4,4'-(2,3-Dimethylbutane-1,4-diyl)di(benzene-1,2-diol)	InChI=1S/C18H22O4/c1-11(7-13-3-5-15(19)17(21)9-13)12(2)8-14-4-6-16(20)18(22)10-14/h3-6,9-12,19-22H,7-8H2,1-2H3	47	CC(CC1=CC(O)=C(O)C=C1)C(C)CC1=CC=C(O)C(O)=C1
amitriptyline	Approved Name	DTXSID7022594	Amitriptyline	50-48-6	3-(10,11-Dihydro-5H-dibenzo[a,d][7]annulen-5-ylidene)-N,N-dimethylpropan-1-amine	InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3	49	CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2
sulindac	Approved Name	DTXSID4023624	Sulindac	38194-50-2	[(1Z)-5-Fluoro-1-{[4-(methanesulfinyl)phenyl]methylidene}-2-methyl-1H-inden-3-yl]acetic acid	InChI=1S/C20H17FO3S/c1-12-17(9-13-3-6-15(7-4-13)25(2)24)16-8-5-14(21)10-19(16)18(12)11-20(22)23/h3-10H,11H2,1-2H3,(H,22,23)/b17-9-	52	CC1=C(CC(O)=O)C2=C(C=CC(F)=C2)\C1=C\C1=CC=C(C=C1)S(C)=O
raloxifene	Approved Name	DTXSID3023550	Raloxifene	84449-90-1	[6-Hydroxy-2-(4-hydroxyphenyl)-1-benzothiophen-3-yl]{4-[2-(piperidin-1-yl)ethoxy]phenyl}methanone	InChI=1S/C28H27NO4S/c30-21-8-4-20(5-9-21)28-26(24-13-10-22(31)18-25(24)34-28)27(32)19-6-11-23(12-7-19)33-17-16-29-14-2-1-3-15-29/h4-13,18,30-31H,1-3,14-17H2	37	OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2S1
15-delta prostaglandin J2	NO_MATCH	-	-	-	-	-	-	-
tacrolimus	Approved Name	DTXSID5046354	Tacrolimus	104987-11-3	(3S,4R,5S,8R,9E,12S,14S,15R,16S,18R,19R,26aS)-5,19-Dihydroxy-3-{(1E)-1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]prop-1-en-2-yl}-14,16-dimethoxy-4,10,12,18-tetramethyl-8-(prop-2-en-1-yl)-5,6,8,11,12,13,14,15,16,17,18,19,24,25,26,26a-hexadecahydro-3H-15,19-epoxypyrido[2,1-c][1,4]oxazacyclotricosine-1,7,20,21(4H,23H)-tetrone	InChI=1S/C44H69NO12/c1-10-13-31-19-25(2)18-26(3)20-37(54-8)40-38(55-9)22-28(5)44(52,57-40)41(49)42(50)45-17-12-11-14-32(45)43(51)56-39(29(6)34(47)24-35(31)48)27(4)21-30-15-16-33(46)36(23-30)53-7/h10,19,21,26,28-34,36-40,46-47,52H,1,11-18,20,22-24H2,2-9H3/b25-19+,27-21+/t26-,28+,29+,30-,31+,32-,33+,34-,36+,37-,38-,39+,40+,44+/m0/s1	37	[H]C12OC(O)(C(C)CC1OC)C(=O)C(=O)N1CCCCC1C(=O)OC(C(C)C(O)CC(=O)C(CC=C)\C=C(C)/CC(C)CC2OC)C(\C)=C\C1CCC(O)C(C1)OC
sulfasalazine	Approved Name	DTXSID0021256	Sulfasalazine	599-79-1	2-Hydroxy-5-[(E)-{4-[(pyridin-2-yl)sulfamoyl]phenyl}diazenyl]benzoic acid	InChI=1S/C18H14N4O5S/c23-16-9-6-13(11-15(16)18(24)25)21-20-12-4-7-14(8-5-12)28(26,27)22-17-3-1-2-10-19-17/h1-11,23H,(H,19,22)(H,24,25)/b21-20+	63	OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1
celecoxib	Approved Name	DTXSID0022777	Celecoxib	169590-42-5	4-[5-(4-Methylphenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl]benzene-1-sulfonamide	InChI=1S/C17H14F3N3O2S/c1-11-2-4-12(5-3-11)15-10-16(17(18,19)20)22-23(15)13-6-8-14(9-7-13)26(21,24)25/h2-10H,1H3,(H2,21,24,25)	66	CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F
LM-1685	NO_MATCH	-	-	-	-	-	-	-
SC-58125	Synonym	DTXSID00167304	1-((4-Methylsulfonyl)phenyl)-3-trifluoromethyl-5-(4-fluorophenyl)pyrazole	162054-19-5	5-(4-Fluorophenyl)-1-[4-(methanesulfonyl)phenyl]-3-(trifluoromethyl)-1H-pyrazole	InChI=1S/C17H12F4N2O2S/c1-26(24,25)14-8-6-13(7-9-14)23-15(10-16(22-23)17(19,20)21)11-2-4-12(18)5-3-11/h2-10H,1H3	13	CS(=O)(=O)C1=CC=C(C=C1)N1N=C(C=C1C1=CC=C(F)C=C1)C(F)(F)F
tanespimycin	Approved Name	DTXSID5046352	Tanespimycin	75747-14-7	(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-13-Hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-19-[(prop-2-en-1-yl)amino]-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	InChI=1S/C31H43N3O8/c1-8-12-33-26-21-13-17(2)14-25(41-7)27(36)19(4)15-20(5)29(42-31(32)39)24(40-6)11-9-10-18(3)30(38)34-22(28(21)37)16-23(26)35/h8-11,15-17,19,24-25,27,29,33,36H,1,12-14H2,2-7H3,(H2,32,39)(H,34,38)/b11-9-,18-10+,20-15+/t17-,19+,24+,25+,27-,29+/m1/s1	23	COC1CC(C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(C)=C/C=C\C(OC)C(OC(N)=O)\C(C)=C/C(C)C1O)C2=O
TTNPB	Expert Validated Synonym	DTXSID6040743	Arotinoid acid	71441-28-6	4-[(1E)-2-(5,5,8,8-Tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)prop-1-en-1-yl]benzoic acid	InChI=1S/C24H28O2/c1-16(14-17-6-8-18(9-7-17)22(25)26)19-10-11-20-21(15-19)24(4,5)13-12-23(20,2)3/h6-11,14-15H,12-13H2,1-5H3,(H,25,26)/b16-14+	31	C\C(=C\C1=CC=C(C=C1)C(O)=O)C1=CC2=C(C=C1)C(C)(C)CCC2(C)C
tretinoin	Expert Validated Synonym	DTXSID7021239	all-trans-Retinoic acid	302-79-4	Retinoic acid	InChI=1S/C20H28O2/c1-15(8-6-9-16(2)14-19(21)22)11-12-18-17(3)10-7-13-20(18,4)5/h6,8-9,11-12,14H,7,10,13H2,1-5H3,(H,21,22)/b9-6+,12-11+,15-8+,16-14+	73	C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O
tomelukast	Approved Name	DTXSID7020344	Tomelukast	88107-10-2	1-{2-Hydroxy-3-propyl-4-[4-(1H-tetrazol-5-yl)butoxy]phenyl}ethan-1-one	InChI=1S/C16H22N4O3/c1-3-6-13-14(9-8-12(11(2)21)16(13)22)23-10-5-4-7-15-17-19-20-18-15/h8-9,22H,3-7,10H2,1-2H3,(H,17,18,19,20)	36	CCCC1=C(OCCCCC2=NN=NN2)C=CC(C(C)=O)=C1O
indometacin	Synonym from Valid Source	DTXSID9020740	Indomethacin	53-86-1	[1-(4-Chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]acetic acid	InChI=1S/C19H16ClNO4/c1-11-15(10-18(22)23)16-9-14(25-2)7-8-17(16)21(11)19(24)12-3-5-13(20)6-4-12/h3-9H,10H2,1-2H3,(H,22,23)	87	COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O
clofibrate	Approved Name	DTXSID3020336	Clofibrate	637-07-0	Ethyl 2-(4-chlorophenoxy)-2-methylpropanoate	InChI=1S/C12H15ClO3/c1-4-15-11(14)12(2,3)16-10-7-5-9(13)6-8-10/h5-8H,4H2,1-3H3	77	CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1
ciclosporin	Synonym from Valid Source	DTXSID0020365	Cyclosporin A	59865-13-3	(3S,6S,9S,12R,15S,18S,21S,24S,30S,33S)-30-Ethyl-33-[(1R,2R,4E)-1-hydroxy-2-methylhex-4-en-1-yl]-1,4,7,10,12,15,19,25,28-nonamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3,21-di(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecaazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone	InChI=1S/C62H111N11O12/c1-25-27-28-40(15)52(75)51-56(79)65-43(26-2)58(81)67(18)33-48(74)68(19)44(29-34(3)4)55(78)66-49(38(11)12)61(84)69(20)45(30-35(5)6)54(77)63-41(16)53(76)64-42(17)57(80)70(21)46(31-36(7)8)59(82)71(22)47(32-37(9)10)60(83)72(23)50(39(13)14)62(85)73(51)24/h25,27,34-47,49-52,75H,26,28-33H2,1-24H3,(H,63,77)(H,64,76)(H,65,79)(H,66,78)/b27-25+/t40-,41+,42-,43+,44+,45+,46+,47+,49+,50+,51+,52-/m1/s1	61	CCC1NC(=O)C(C(O)C(C)C\C=C/C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
LY-294002	NO_MATCH	-	-	-	-	-	-	-
MK-886	NO_MATCH	-	-	-	-	-	-	-
prednisolone	Approved Name	DTXSID9021184	Prednisolone	50-24-8	(11beta)-11,17,21-Trihydroxypregna-1,4-diene-3,20-dione	InChI=1S/C21H28O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h5,7,9,14-16,18,22,24,26H,3-4,6,8,10-11H2,1-2H3/t14-,15-,16-,18+,19-,20-,21-/m0/s1	69	CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO
thalidomide	Approved Name	DTXSID9022524	Thalidomide	50-35-1	2-(2,6-Dioxopiperidin-3-yl)-1H-isoindole-1,3(2H)-dione	InChI=1S/C13H10N2O4/c16-10-6-5-9(11(17)14-10)15-12(18)7-3-1-2-4-8(7)13(15)19/h1-4,9H,5-6H2,(H,14,16,17)	68	O=C1N(C2CCC(=O)NC2=O)C(=O)C2=CC=CC=C12
genistein	Approved Name	DTXSID5022308	Genistein	446-72-0	5,7-Dihydroxy-3-(4-hydroxyphenyl)-4H-1-benzopyran-4-one	InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-7,16-18H	83	OC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O
fludrocortisone	Approved Name	DTXSID7023061	Fludrocortisone	127-31-1	(11beta)-9-Fluoro-11,17,21-trihydroxypregn-4-ene-3,20-dione	InChI=1S/C21H29FO5/c1-18-7-5-13(24)9-12(18)3-4-15-14-6-8-20(27,17(26)11-23)19(14,2)10-16(25)21(15,18)22/h9,14-16,23,25,27H,3-8,10-11H2,1-2H3/t14-,15-,16-,18-,19-,20-,21-/m0/s1	35	CC12CC(O)C3(F)C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO
quercetin	Approved Name	DTXSID4021218	Quercetin	117-39-5	2-(3,4-Dihydroxyphenyl)-3,5,7-trihydroxy-4H-1-benzopyran-4-one	InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H	74	OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC(O)=C(O)C=C1
monastrol	Approved Name	DTXSID10388124	monastrol	254753-54-3	Ethyl 4-(3-hydroxyphenyl)-6-methyl-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-carboxylate	InChI=1S/C14H16N2O3S/c1-3-19-13(18)11-8(2)15-14(20)16-12(11)9-5-4-6-10(17)7-9/h4-7,12,17H,3H2,1-2H3,(H2,15,16,20)	11	CCOC(=O)C1=C(C)NC(=S)NC1C1=CC=CC(O)=C1
fulvestrant	Approved Name	DTXSID4022369	Fulvestrant	129453-61-8	(7alpha,17beta)-7-[9-(4,4,5,5,5-Pentafluoropentane-1-sulfinyl)nonyl]estra-1,3,5(10)-triene-3,17-diol	InChI=1S/C32H47F5O3S/c1-30-17-15-26-25-12-11-24(38)21-23(25)20-22(29(26)27(30)13-14-28(30)39)10-7-5-3-2-4-6-8-18-41(40)19-9-16-31(33,34)32(35,36)37/h11-12,21-22,26-29,38-39H,2-10,13-20H2,1H3/t22-,26-,27+,28+,29-,30+,41?/m1/s1	54	CC12CCC3C(C1CCC2O)C(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)CC1=CC(O)=CC=C31
exisulind	Synonym	DTXSID6040246	Sulindac sulfone	59973-80-7	[(1Z)-5-Fluoro-1-{[4-(methanesulfonyl)phenyl]methylidene}-2-methyl-1H-inden-3-yl]acetic acid	InChI=1S/C20H17FO4S/c1-12-17(9-13-3-6-15(7-4-13)26(2,24)25)16-8-5-14(21)10-19(16)18(12)11-20(22)23/h3-10H,11H2,1-2H3,(H,22,23)/b17-9-	27	CC1=C(CC(O)=O)C2=C(C=CC(F)=C2)\C1=C\C1=CC=C(C=C1)S(C)(=O)=O
sulindac sulfide	Approved Name	DTXSID0049078	Sulindac sulfide	49627-27-2	[(1Z)-5-Fluoro-2-methyl-1-{[4-(methylsulfanyl)phenyl]methylidene}-1H-inden-3-yl]acetic acid	InChI=1S/C20H17FO2S/c1-12-17(9-13-3-6-15(24-2)7-4-13)16-8-5-14(21)10-19(16)18(12)11-20(22)23/h3-10H,11H2,1-2H3,(H,22,23)/b17-9-	22	CSC1=CC=C(\C=C2\C(C)=C(CC(O)=O)C3=C2C=CC(F)=C3)C=C1
staurosporine	Approved Name	DTXSID6041131	Staurosporine	62996-74-1	(5R,6S,7S)-6-Methoxy-5-methyl-7-(methylamino)-6,7,8,9,15,16-hexahydro-5H,14H-5,9-epoxy-4b,9a,15-triazadibenzo[b,h]cyclonona[1,2,3,4-jkl]cyclopenta[e]-as-indacen-14-one	InChI=1S/C28H26N4O3/c1-28-26(34-3)17(29-2)12-20(35-28)31-18-10-6-4-8-14(18)22-23-16(13-30-27(23)33)21-15-9-5-7-11-19(15)32(28)25(21)24(22)31/h4-11,17,20,26,29H,12-13H2,1-3H3,(H,30,33)/t17-,20+,26-,28+/m0/s1	24	[H]C12CC(NC)C(OC)C(C)(O1)N1C3=CC=CC=C3C3=C1C1=C(C4=C(C=CC=C4)N21)C1=C3CNC1=O
NU-1025	NO_MATCH	-	-	-	-	-	-	-
acetylsalicylic acid	Expert Validated Synonym	DTXSID5020108	Aspirin	50-78-2	2-(Acetyloxy)benzoic acid	InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)	105	CC(=O)OC1=C(C=CC=C1)C(O)=O
flufenamic acid	Approved Name	DTXSID7023063	Flufenamic acid	530-78-9	2-[3-(Trifluoromethyl)anilino]benzoic acid	InChI=1S/C14H10F3NO2/c15-14(16,17)9-4-3-5-10(8-9)18-12-7-2-1-6-11(12)13(19)20/h1-8,18H,(H,19,20)	60	OC(=O)C1=C(NC2=CC(=CC=C2)C(F)(F)F)C=CC=C1
N-phenylanthranilic acid	Approved Name	DTXSID6059025	N-Phenylanthranilic acid	91-40-7	2-Anilinobenzoic acid	InChI=1S/C13H11NO2/c15-13(16)11-8-4-5-9-12(11)14-10-6-2-1-3-7-10/h1-9,14H,(H,15,16)	32	OC(=O)C1=C(NC2=CC=CC=C2)C=CC=C1
monorden	NO_MATCH	-	-	-	-	-	-	-
arachidonyltrifluoromethane	NO_MATCH	-	-	-	-	-	-	-
sirolimus	Approved Name	DTXSID5023582	Sirolimus	53123-88-9	(3S,6R,7E,9R,10R,12R,14S,15E,17E,19E,21S,23S,26R,27R,34aS)-9,27-Dihydroxy-3-{(2R)-1-[(1S,3R,4R)-4-hydroxy-3-methoxycyclohexyl]propan-2-yl}-10,21-dimethoxy-6,8,12,14,20,26-hexamethyl-9,10,12,13,14,21,22,23,24,25,26,27,32,33,34,34a-hexadecahydro-3H-23,27-epoxypyrido[2,1-c][1,4]oxazacyclohentriacontine-1,5,11,28,29(4H,6H,31H)-pentone	InChI=1S/C51H79NO13/c1-30-16-12-11-13-17-31(2)42(61-8)28-38-21-19-36(7)51(60,65-38)48(57)49(58)52-23-15-14-18-39(52)50(59)64-43(33(4)26-37-20-22-40(53)44(27-37)62-9)29-41(54)32(3)25-35(6)46(56)47(63-10)45(55)34(5)24-30/h11-13,16-17,25,30,32-34,36-40,42-44,46-47,53,56,60H,14-15,18-24,26-29H2,1-10H3/b13-11+,16-12+,31-17+,35-25+/t30-,32-,33-,34-,36-,37+,38+,39+,40-,42+,43+,44-,46-,47+,51-/m1/s1	44	[H]C12CCC(C)C(O)(O1)C(=O)C(=O)N1CCCCC1C(=O)OC(CC(=O)C(C)\C=C(C)/C(O)C(OC)C(=O)C(C)CC(C)\C=C/C=C\C=C(C)/C(C2)OC)C(C)CC1CCC(O)C(C1)OC
trichostatin A	Approved Name	DTXSID6037063	Trichostatin A	58880-19-6	(2E,4E,6R)-7-[4-(Dimethylamino)phenyl]-N-hydroxy-4,6-dimethyl-7-oxohepta-2,4-dienamide	InChI=1S/C17H22N2O3/c1-12(5-10-16(20)18-22)11-13(2)17(21)14-6-8-15(9-7-14)19(3)4/h5-11,13,22H,1-4H3,(H,18,20)/b10-5+,12-11+/t13-/m1/s1	25	CC(\C=C(/C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C
diclofenac	Approved Name	DTXSID6022923	Diclofenac	15307-86-5	[2-(2,6-Dichloroanilino)phenyl]acetic acid	InChI=1S/C14H11Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h1-7,17H,8H2,(H,18,19)	64	OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1
mercaptopurine	Synonym from Valid Source	DTXSID0020810	6-Mercaptopurine	50-44-2	1,9-Dihydro-6H-purine-6-thione	InChI=1S/C5H4N4S/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)	52	S=C1NC=NC2=C1N=CN2
nitrendipine	Approved Name	DTXSID0023373	Nitrendipine	39562-70-4	Ethyl methyl 2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate	InChI=1S/C18H20N2O6/c1-5-26-18(22)15-11(3)19-10(2)14(17(21)25-4)16(15)12-7-6-8-13(9-12)20(23)24/h6-9,16,19H,5H2,1-4H3	43	CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)OC
azathioprine	Approved Name	DTXSID4020119	Azathioprine	446-86-6	6-[(1-Methyl-4-nitro-1H-imidazol-5-yl)sulfanyl]-7H-purine	InChI=1S/C9H7N7O2S/c1-15-4-14-7(16(17)18)9(15)19-8-5-6(11-2-10-5)12-3-13-8/h2-4H,1H3,(H,10,11,12,13)	73	CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O
sodium phenylbutyrate	Synonym	DTXSID7040948	Sodium 4-phenylbutyrate	1716-12-7	Sodium 4-phenylbutanoate	InChI=1S/C10H12O2.Na/c11-10(12)8-4-7-9-5-2-1-3-6-9;/h1-3,5-6H,4,7-8H2,(H,11,12);/q;+1/p-1	21	OC(=O)CCCC1=CC=CC=C1
felodipine	Approved Name	DTXSID4023042	Felodipine	72509-76-3	Ethyl methyl 4-(2,3-dichlorophenyl)-2,6-dimethyl-1,4-dihydropyridine-3,5-dicarboxylate	InChI=1S/C18H19Cl2NO4/c1-5-25-18(23)14-10(3)21-9(2)13(17(22)24-4)15(14)11-7-6-8-12(19)16(11)20/h6-8,15,21H,5H2,1-4H3	44	CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC
nifedipine	Approved Name	DTXSID2025715	Nifedipine	21829-25-4	Dimethyl 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate	InChI=1S/C17H18N2O6/c1-9-13(16(20)24-3)15(14(10(2)18-9)17(21)25-4)11-7-5-6-8-12(11)19(22)23/h5-8,15,18H,1-4H3	62	COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC
novobiocin	Approved Name	DTXSID3041083	Novobiocin	303-81-1	(3R,4S,5R,6R)-5-Hydroxy-6-({4-hydroxy-3-[4-hydroxy-3-(3-methylbut-2-en-1-yl)benzamido]-8-methyl-2-oxo-2H-1-benzopyran-7-yl}oxy)-3-methoxy-2,2-dimethyloxan-4-yl carbamate (non-preferred name)	InChI=1S/C31H36N2O11/c1-14(2)7-8-16-13-17(9-11-19(16)34)27(37)33-21-22(35)18-10-12-20(15(3)24(18)42-28(21)38)41-29-23(36)25(43-30(32)39)26(40-6)31(4,5)44-29/h7,9-13,23,25-26,29,34-36H,8H2,1-6H3,(H2,32,39)(H,33,37)/t23-,25+,26-,29-/m1/s1	34	COC1C(OC(N)=O)C(O)C(OC2=CC=C3C(O)=C(NC(=O)C4=CC(CC=C(C)C)=C(O)C=C4)C(=O)OC3=C2C)OC1(C)C
